timestamp,Solar
April 1, 2020 00-00,0.0
April 1, 2020 01-00,0.0
April 1, 2020 02-00,0.0
April 1, 2020 03-00,0.0
April 1, 2020 04-00,7.077951611409564
April 1, 2020 05-00,56.66021592712978
April 1, 2020 06-00,138.59775735161705
April 1, 2020 07-00,206.84237405688816
April 1, 2020 08-00,241.20752088729077
April 1, 2020 09-00,284.6344186090885
April 1, 2020 10-00,299.7517055088646
April 1, 2020 11-00,260.6316220892133
April 1, 2020 12-00,250.6484342805157
April 1, 2020 13-00,209.96324136983964
April 1, 2020 14-00,148.62797154092482
April 1, 2020 15-00,86.47474859081154
April 1, 2020 16-00,19.780585296691346
April 1, 2020 17-00,0.0
April 1, 2020 18-00,0.0
April 1, 2020 19-00,0.0
April 1, 2020 20-00,0.0
April 1, 2020 21-00,0.0
April 1, 2020 22-00,0.0
April 1, 2020 23-00,0.0
April 1, 2021 00-00,0.0
April 1, 2021 02-00,0.0
April 1, 2021 03-00,0.0
April 1, 2021 04-00,10.290787439846422
April 1, 2021 05-00,81.21531571087897
April 1, 2021 06-00,148.851606985483
April 1, 2021 07-00,199.69670872220337
April 1, 2021 08-00,233.96060932459525
April 1, 2021 09-00,252.12889283366067
April 1, 2021 10-00,254.833520380771
April 1, 2021 11-00,243.9030368311349
April 1, 2021 12-00,219.2062608792245
April 1, 2021 13-00,182.37341632570903
April 1, 2021 14-00,135.43771884540425
April 1, 2021 15-00,80.00078950962036
April 1, 2021 16-00,18.93641007164752
April 1, 2021 17-00,0.0
April 1, 2021 18-00,0.0
April 1, 2021 19-00,0.0
April 1, 2021 20-00,0.0
April 1, 2021 21-00,0.0
April 1, 2021 22-00,0.0
April 1, 2021 23-00,0.0
April 1, 2022 00-00,0.0
April 1, 2022 02-00,0.0
April 1, 2022 03-00,0.0
April 1, 2022 04-00,0.9808127286123374
April 1, 2022 05-00,12.760493722136037
April 1, 2022 06-00,32.537774540360985
April 1, 2022 07-00,58.37188216994942
April 1, 2022 08-00,93.65826647255844
April 1, 2022 09-00,114.839966708254
April 1, 2022 10-00,127.2834646391011
April 1, 2022 11-00,139.0177358134218
April 1, 2022 12-00,146.6182345540113
April 1, 2022 13-00,71.8371240584378
April 1, 2022 14-00,36.12745322195258
April 1, 2022 15-00,25.00412480770876
April 1, 2022 16-00,6.7364087982668766
April 1, 2022 17-00,0.0
April 1, 2022 18-00,0.0
April 1, 2022 19-00,0.0
April 1, 2022 20-00,0.0
April 1, 2022 21-00,0.0
